Candidate name,Candidate Age,Candidate Party,So/Wo/Do,Candidate Educations,Candidate A&L,Candidate Self Professions,Candidate Spouse Professions,Candidate Criminal Cases
MANUBHAI RANCHHODBHAI THAKOR ,"
 40
        ","
AAP
 ","

Ranchhodbhai 
        ","


Others
 Diploma In Mechancial Engineering From Bhailal Bhai &amp; Bikhabhai, Polytechnic Engineering College, Vallabh Vidya Nagar, Anand, Gujrat, In The Year-2011
","10,65,000 ~10 Lacs+ ",Self tdNil,NA,0
MAULIK VINUBHAI SHAH ,"
 42
        ","
Bharatiya National Janta Dal
 ","

Vinodchandra Shaha
        ","


10th Pass
 10th  From Gujarat Secondary Board, Gandhinagar In Year-1995
","2,34,000 ~2 Lacs+ ",Self tdNews Paper Supplier ,NA,0
MAURYA K. D. ,"
 47
        ","
BSP
 ","

Dungarbhai Maurya
        ","


10th Pass
 11th Pass Dariba High School Dantali Gandhinagar
","4,25,000 ~4 Lacs+ ",Self tdPrivate Job,Housewife,0
MAURYA MITVARDHAN NARANBHAI ,"
 31
        ","
IND
 ","

Naranbhai Hirabhai
        ","


Graduate Professional
 B.R.S. B.Ed. From H.N.G.U, Patan
","19,00,000 ~19 Lacs+ ",Self tdPvt. Job,House Wife,0
MAVJIBHAI MAGANBHAI DESAI ,"
 50
        ","
IND
 ","

Maganbhai 
        ","


10th Pass
 SSC from Doshi NJ Adarsh HighSchool, Deesa in Year 1988
","63,46,52,537 ~63 Crore+ ",Self tdAgriculture & Business,"Agriculture, Business & Housewife",2
MAVJIBHAI VITHTHALBHAI PANCHALA ,"
 44
        ","
IND
 ","

Vitthalbhai Panchala
        ","


Illiterate
 Illiterate
","1,51,000 ~1 Lacs+ ",Self tdLabour,Labour,0
MAYURBHAI HARILAL RANVA ,"
 32
        ","
BSP
 ","

Harilal Ranva
        ","


8th Pass
 9th Pass From Swami Vivekanand Highschool Junagadh Year 2004
","6,10,000 ~6 Lacs+ ",Self tdBusiness,Housewife,0
MAYURBHAI MERABHAI SAKARIYA ,"
 40
        ","
AAP
 ","

Merabhai Sakariya
        ","


12th Pass
 12th Pass From Gujarat Higher Secondary Board Dajiraj Highschool Vadhvan
","9,69,000 ~9 Lacs+ ",Self tdFarming,Housewife,1
MEDA DEVENDRAKUMAR LAXMANBHAI (DEVABHAI) ,"
 34
        ","
Bhartiya Tribal Party
 ","

Laxmanbhai Meda
        ","


12th Pass
 12th Pass Year 2008, Gujarat Madhyamik Uttar Madhyamik Shiksha Board Gandhinagar
","8,67,500 ~8 Lacs+ ",Self tdAgriculture and Labour, NA,1
MEENAKSHI JOSHI ,"
 60
        ","
SUCI(C)
 ","

Pravinchandra
        ","


Post Graduate
 MDC From Gujarat University, Year-1988 &amp; M.A. (Pol. Sci.) From Gujarat University, Year-1989
","1,68,46,426 ~1 Crore+ ",Self tdRented Income & Freelance Content Writing,NA,0
MEGHJIBHAI VITHALBHAI TALSANIYA ,"
 58
        ","
IND
 ","

Vithalbhai
        ","


5th Pass
 6th Pass from Kundali Primary School
","1,00,000 ~1 Lacs+ ",Self tdWages,NA,0
MEGHRAJ DODWANI ,"
 65
        ","
NCP
 ","

GHUMANMAL NARUMAL DODWANI
        ","


10th Pass
 10th Pass from SSC Board Inter Mediate Secondary Education Board 1974
","4,96,19,512 ~4 Crore+ ",Self tdBusiness,House wife,0
MEGHWAL NAGSHI KHAMUBHAI ,"
 74
        ","
BSP
 ","

Khamu Harijan
        ","


5th Pass
 7th pass in1963
","9,55,000 ~9 Lacs+ ",Self tdRetired,Housewife,0
MEHBUB MOHAMADBHAI RANGREJ ,"
 67
        ","
IND
 ","

Mohamadbhai Nanamiyan Rangrej
        ","


8th Pass
 9th from Navjeevan High School Khamasa Ahmedabad In 1975
","3,01,016 ~3 Lacs+ ",Self tdBusiness ,N.A.,0
MEHTA USHABH KAUSHIKKUMAR ,"
 31
        ","
Bharatiya National Janta Dal
 ","

Kaushikkumar Chinubhai Mehta 
        ","


Graduate Professional
 LL.B From Gujarat University Year-2016 &amp; Post Graduation Diploma Export and Import Management .
","1,13,40,841 ~1 Crore+ ",Self tdAdvocate,Private Job,0
MEHUL NATHWANI ,"
 44
        ","
IND
 ","

Dhanvantrai Nathwani
        ","


10th Pass
 10th Pass From Vinayak Mandir Umrala Year 2002-2003
","1,34,02,378 ~1 Crore+ ",Self tdBusiness,NA,0
MEHULRAJ BHARATSINH RATHOD ,"
 42
        ","
Praja Vijay Paksh
 ","

Bharatsinh Rathod
        ","


8th Pass
 10th fail from Shri Seth V.D. High school Bhuj in 1996
","54,000 ~54 Thou+ ",Self tdKengan Water Suppliers,Housewife,0
MEMAN MUHAMMADHUSEN ABDULLAHBHAI ,"
 29
        ","
SDPI
 ","

Abdullahbhai
        ","


5th Pass
 7th Primary School M. Dholka 2005
","2,27,156 ~2 Lacs+ ",Self tdSalaried ,NA,0
MERAMBHAI KARMANBHAI VARU ,"
 27
        ","
IND
 ","

Karmanbhai Varu
        ","


8th Pass
 10th Fail From Shri Sahajanand Secondary School, Madhapar, Year-2011
","47,000 ~47 Thou+ ",Self tdPlumbing Work,NA,0
MEVADA DHAVAL MAHESHBHAI ,"
 34
        ","
All India Hindustan Congress Party
 ","

Mevada Maheshbhai
        ","


10th Pass
 SSC 10th Pass March 2004 SSC Board
","25,57,000 ~25 Lacs+ ",Self tdTrading Business ,NA,0
MEVADA JAYANTIBHAI JETHALAL ,"
 68
        ","
AAP
 ","

Jethalal Mevada
        ","


Graduate Professional
 B.Law From Motilal Neharu Law Collage, Gujarat University. Year 1982 Oct.-Nov.
","16,87,97,653 ~16 Crore+ ","Self tdPartnership with Krishang Heritage, Farming And Pensioner","Partnership with Krishang , Interest Amount  And Farming",1
MILANKUMAR MADHAVJI CHAUHAN ,"
 28
        ","
IND
 ","

Madhavji Ranabhai Chauhan
        ","


12th Pass
 HSC Pass 
","50,000 ~50 Thou+ ",Self tdLabor,Nil,0
MILIND BAUDDH ,"
 46
        ","
IND
 ","

Valjibhai Balvantbhai Solanki
        ","


Post Graduate
 M.A. 1998, B.ed 1999 Gujarat University 
","31,21,464 ~31 Lacs+ ",Self tdTution Classes ,NA,0
MIRZA ABID ALIBHAI ,"
 54
        ","
IND
 ","

Alibhai
        ","


12th Pass
 12th pass from gujarat board gandhinagar
","16,49,000 ~16 Lacs+ ",Self tdMechanical ,House wife,0
MIRZA ABIDBEG YASINBEG ,"
 48
        ","
IND
 ","

Yasinbeg Mirza
        ","


Literate
 Class- 2 Pass From Bapunagar Urdu School Year 1986
","58,500 ~58 Thou+ ",Self tdRickshaw Driving,No,0
MITESHBHAI KALABHAI GARASIYA ,"
 58
        ","
INC
 ","

Kalabhai Kaliyabhai Garasiya 
        ","


Post Graduate
 M.S.(Surgeon General) B.J. Medical College Civil Hospital Ahmedabad  Gujarat University 2001
","1,53,87,977 ~1 Crore+ ","Self tdAgriculture, Business",Agriculture and Housewife,1
MITHAPARA MUKESHKUMAR BABUBHAI ,"
 33
        ","
IND
 ","

Babubhai Mithapara
        ","


Post Graduate
 LLM from  CU Shah University Surendranagar
","20,84,679 ~20 Lacs+ ",Self tdAdvocate,NA,0
MIYA AAMIN RAHIMBHAI ,"
 25
        ","
IND
 ","

Miya Rahimbhai Jusabbhai
        ","


5th Pass
 8th Fail From Madhuvan School, Jamnagar
","21,000 ~21 Thou+ ",Self tdBusiness,NA,0
MO. TAHIR ALIMIYA ,"
 34
        ","
Dhanwan Bharat Party
 ","

Alimiya Abdullah
        ","


10th Pass
 10th Pass
","61,000 ~61 Thou+ ",Self tdTailor Work,House Wife ,0
MOHAMAD ASFAQ IQBAL SHEKH ,"
 27
        ","
IND
 ","

Sheikh Iqbal Mohammad
        ","


8th Pass
 8th Pass From  Anglo Urdu High School, Surat
","1,01,832 ~1 Lacs+ ",Self tdAC repairing,Not Applicable,0
MOHAMAD FAIZ MOHAMAD FARUQ MULLA ,"
 34
        ","
IND
 ","

Mohmad Farukh Mulla
        ","


8th Pass
 9th Pass
","35,000 ~35 Thou+ ",Self tdBroker,Housewife,1
MOHAMAD FARUK SHAIKH ,"
 57
        ","
IND
 ","

Inyatulla Shaikh
        ","


5th Pass
 6th Pass
","3,10,628 ~3 Lacs+ ",Self tdBusiness,Nil,0
MOHAMMAD BALDAR SHAH ,"
 42
        ","
IND
 ","

Baldar Shah
        ","


5th Pass
 7th Academy School Udhna in 1992
","8,00,000 ~8 Lacs+ ",Self tdBusiness,House wife,1
MOHAMMAD IMTIYAZ YUSUF BHAI SHAIKH ,"
 51
        ","
IND
 ","

Yusufbhai Shaikh
        ","


5th Pass
 7th Pass
","1,30,000 ~1 Lacs+ ",Self tdRickshaw Puller,House wife,0
MOHAMMAD JUNED MEMON ,"
 35
        ","
IND
 ","

Moarif Memon
        ","


Illiterate
 Illiterate
","24,000 ~24 Thou+ ",Self tdAuto Rickshaw Driver,NA,0
MOHAMMAD NAFIS ISLAM KHAN ,"
 31
        ","
IND
 ","

Islam Khan
        ","


Illiterate
 Illiterate
","45,217 ~45 Thou+ ",Self tdLabor Work Income From Cloth Shop,Housewife,0
MOHAMMAD UMARJI KHADAKIWALA ,"
 49
        ","
IND
 ","

Umarji Khadkiwala
        ","


8th Pass
 8th pass MSV High School
","2,95,000 ~2 Lacs+ ",Self tdDriver,Not Applicable,0
MOHAMMADHUSAIN LIYAKATAHUSAIN ANSARI ,"
 67
        ","
Loktantrik Rashrtavadi Party
 ","

Liyakatahusain Ansari
        ","


5th Pass
 5th Pass From Bapunagar Urdu School No.1, Bapunagar, Ahmedabad, Gujarat Secondary &amp; Higher Secondary Board, Year-1968
","21,000 ~21 Thou+ ",Self tdNil,Nil,0
MOHAMMED ZAKIR NIZAMUDDIN SHAIKH ,"
 35
        ","
SP
 ","

Nizamuddin Shaikh
        ","


5th Pass
 7th pass from Primary School Jahera A Mohan Dediya Pipadiya Primary School Rander
","10,85,000 ~10 Lacs+ ",Self tdPan Store,Not Applicable,0
MOHANBHAI DHANJIBHAI DHODIYA ,"
 65
        ","
BJP
 ","

Dhanjibhai Karsanbhai Dhodiya
        ","


8th Pass
 9th Pass From B T &amp; K L Zaveri Sarvajanik High School, Buhari Year 1972-73
","2,00,18,546 ~2 Crore+ ","Self tdFarming, MLA Income",NA,0
MOHANBHAI PARSINGBHAI SANGADA ,"
 43
        ","
IND
 ","

Parsingbhai Nathubhai Sangada
        ","


Post Graduate
 M.A.B.Ed. From Gujarat University, Ahmedabad, Year-2008
","6,92,000 ~6 Lacs+ ",Self tdFarming,House Wife,0
MOHANBHAI RAVIYABHAI KOHKERIYA ,"
 43
        ","
CPI(ML)(L)
 ","

Raviyabhai Kohkeriya
        ","


10th Pass
 11th Pass, From Bai Motibai &amp; Bapuji Farmajiwadiya Highschool, Year-2003
","46,11,480 ~46 Lacs+ ",Self tdAuto Driver,Anganwadi Service,0
MOHSHIN SHAH ,"
 29
        ","
IND
 ","

Rauf Shah
        ","


Illiterate
 Illiterate
","29,000 ~29 Thou+ ",Self tdLabor Work,NA,0
MORADIYA NITESHBHAI PURUSHOTAMBHAI ,"
 44
        ","
Right to Recall Party
 ","

Purushottambhai Moradiya
        ","


12th Pass
 HSC Pass From Gujarat Board M D Shah Vidyalay Botad Year March 1995 &amp; SSC Pass From Gujarat Board Year March 1993
","3,64,63,570 ~3 Crore+ ","Self tdFarming, Diamond Broker & Consultancy",Tailoring & Beauty Parlor,0
MORADIYA PRAVINBHAI MAVJIBHAI ,"
 57
        ","
BSP
 ","

Moradiya Mavjibhai Popatbhai
        ","


8th Pass
 8th Year 1981 High School 
","38,56,379 ~38 Lacs+ ",Self tdBusiness,Nil,0
MOTIVARASH DEVENDRABHAI DHANJIBHAI ,"
 46
        ","
IND
 ","

Dhanjibhai Shamjibhai Motivarash
        ","


Graduate
 B.Com. From Saurashtra University C.P.L. Choksi College, Veraval, Year-1997
","2,07,14,000 ~2 Crore+ ",Self tdFish Business,Fish Business,0
MOXESH RAMESHCHANDRA SANGHAVI ,"
 37
        ","
AAP
 ","

Rameshchandra Sanghvi
        ","


12th Pass
 12th pass Naginbhai Ghelabhai Zaveri jain high school gopipura surat 2002
","1,28,88,247 ~1 Crore+ ",Self tdDiamond Trade,Tuition fee,0
