Candidate name,Candidate Age,Candidate Party,So/Wo/Do,Candidate Educations,Candidate A&L,Candidate Self Professions,Candidate Spouse Professions,Candidate Criminal Cases
BHUPENDRA BHAVANBHAI PATOLIYA ,"
 75
        ","
IND
 ","

Bhavanbhai Patolia
        ","


Graduate
 B.Com Saurashtra University
",[' Assets:Nil',Self ,Spouse ,0
BHUPENDRA KANUBHAI SAGTHIYA ,"
 51
        ","
BSP
 ","

Kanubhai Sagthiya
        ","


8th Pass
 9th Pass
","6,80,000 ~6 Lacs+ ",Self tdLabour,Housewife,0
BHUPENDRABHAI GANDUBHAI BHAYANI ,"
 48
        ","
AAP
 ","

Gandubhai Bhayani
        ","


10th Pass
 10th Pass Shri Vinay Mandir Besana 1992
","64,97,524 ~64 Lacs+ ",Self tdAgriculture Income,House Wife,1
BHUPENDRABHAI RAJNIKANT PATEL ,"
 60
        ","
BJP
 ","

Patel Rajnikant
        ","


12th Pass
 SSC in 1979 from JB Shah Jyoti Higher Secondary Ahmedabad, Diploma in civil Engineering in 1982 from Government Polytechnic Ahmedabad
","8,22,80,688 ~8 Crore+ ","Self tdSalary, Rent and other income","Business partner, Shop rent",0
BHUPENDRAKUMAR BHIKHABHAI RAVAT ,"
 37
        ","
Rashtriya Hind Ekta Dal
 ","

Bhikabhai Ravat 
        ","


12th Pass
 12th Pass Loknikat Higher secondary School Palanpur
","11,00,000 ~11 Lacs+ ",Self tdSub Contractor , Housewife,0
BHURALAL MEGHAJIBHAI PARMAR ,"
 68
        ","
IND
 ","

Meghajibhai Dayabhai Parmar
        ","


10th Pass
 SSC Mehta  High School Jamnagar in 1974
","2,65,000 ~2 Lacs+ ",Self tdPensioner ,House wife,0
BHUSHAN ASHOK BHATT ,"
 59
        ","
BJP
 ","

Ashokbhai Chandulal Bhatt
        ","


12th Pass
 12th from Gujarat Higher Secondary Education Board In 1982, SY. B.Com in 1984 from Gujarat University 
","2,80,01,898 ~2 Crore+ ",Self tdSocial worker,Housewife and investor,1
BIPENDRASINH CHATURSINH JADEJA ,"
 54
        ","
INC
 ","

Chatursinh Jadeja
        ","


Graduate Professional
 B.P. Ed. from Chintamani  Physical Education University, Nagpur University In 1992 &amp; B.Com from VM Mehta College Saurashtra University In 1990
","1,71,94,887 ~1 Crore+ ",Self tdAgriculture and Business,Agriculture and Tuition,0
BIPIN PATEL ,"
 41
        ","
AAP
 ","

Ghansyambhai
        ","


10th Pass
 10th Pass From Seth R.H. High School, R.C. Patel Higher Secondary School, Meda Adaraj Kadi Gujarat Secondary &amp; Higher Secondary Education Board, Year-1996
","58,02,073 ~58 Lacs+ ",Self tdGarments Work,Engineering Work,1
BIPINBHAI MANILAL BHETASIYA ,"
 43
        ","
BSP
 ","

Manilal Bhetasiya
        ","


12th Pass
 SY B.Com from Gujarat University in Year 2002
","7,11,150 ~7 Lacs+ ",Self td144000 ,NA,0
BIPINCHANDRA KHUSHALBHAI CHAUDHARI ,"
 54
        ","
AAP
 ","

Khushalbhai Chaudhari
        ","


Post Graduate
 M.A From South Gujarat University Year 1992
","49,72,861 ~49 Lacs+ ",Self tdNA,NA,0
BOBDA NAZIRHUSEN GULABBHAI ,"
 48
        ","
IND
 ","

Bobda Gulabbhai
        ","


12th Pass
 12th Pass from Sheth Shree MM School Dhangadhra in Year 1990
","7,74,000 ~7 Lacs+ ",Self tdCold Water Business,NA,0
BOCHAL HASMUKHBHAI RAMANBHAI ,"
 46
        ","
CPI(M)
 ","

Ramanbhai Balubhai Bochal
        ","


10th Pass
 10th (S.S.C.),  From K.D.B.Sarigam Year-1993
","6,87,063 ~6 Lacs+ ",Self tdFarming & Farm Labour,Tailoring Work,0
BOCHIYA MOHANBHAI ISHVARBHAI ,"
 35
        ","
IND
 ","

Bochiya Ishvarbhai Rasegbhai
        ","


Graduate
 B.A. HNGU Patan 2008
","3,10,819 ~3 Lacs+ ",Self tdFarming,NA,0
BORICHA DEVSHIBHAI KUMBHABHAI ,"
 59
        ","
BSP
 ","

Boricha Kumbhabhai Sidhibhai
        ","


8th Pass
 9th Pass From Shri Bhagvatsinghji Highschool Dhoraji Year 1983
","31,23,357 ~31 Lacs+ ",Self tdFarming,Housewife,0
BRAHMKSHATRIYA BHAGAVTIBEN KHETSINHBHAI ,"
 70
        ","
IND
 ","

Khetsinhbhai Brahmkshatriya
        ","


5th Pass
 7th Pass From Banaskantha District Education Girls School Year 1967
","24,65,000 ~24 Lacs+ ",Self tdFrom Business,No,0
BUDHABHAI THAVAR MAHESHWARI ,"
 63
        ","
AAP
 ","

Thavar Maheshwari
        ","


Graduate Professional
 B.A., L.L.B. From Gujarat University Ahmedabad Gujarat Year 2001
","94,08,642 ~94 Lacs+ ",Self tdGovernment Pension And Lawyer,Tailoring (Business),0
BUKELIYA HITESHBHAI SANJAYBHAI ,"
 28
        ","
Rashtriya Power Party
 ","

Bukeliya Sanjaybhai Vashrambhai
        ","


8th Pass
 10th Failed from Shri Natwarlal Shah Sarvajanik School Geeta Mandir Road Ahmedabad In 2009
","28,500 ~28 Thou+ ",Self tdSewing work,NA,0
BUKHARI YAKUB MOHAMMAD HUSHEN ,"
 29
        ","
All India Majlis-E-Ittehadul Muslimeen
 ","

Bukhari Mohammad Hushen
        ","


8th Pass
 10th Fail from Gopalji Valji Jerajani HighSchool in Year 2009
","1,52,198 ~1 Lacs+ ",Self tdBusiness,Housewife,0
BUMBADIYA MAHENDRABHAI KESHARABHAI ,"
 70
        ","
AAP
 ","

Kesharabhai Bumbadiya
        ","


10th Pass
 Old SSc from Lok niketan Vinaymandir Ratanpur in Year 1971
","2,65,500 ~2 Lacs+ ",Self tdRetired,NA,0
BUTANI RAJESHBHAI MAGANBHAI ,"
 49
        ","
Rashtriya Hind Ekta Dal
 ","

Maganbhai Butani
        ","


10th Pass
 10th Pass From Rana,Khirsara High school,Year 1989-90 And ITI Electrician,ITI Ramnagar, Batch No.48
","63,84,000 ~63 Lacs+ ",Self tdFarming,Housewife,0
C.K.RAULJI ,"
 68
        ","
BJP
 ","

Kanaksingh Bandhsingh
        ","


12th Pass
 TYB.Com From Timba Godhra Gujarat University Year 1975, Old SSC From PM Patel Highschool Year 1969
","13,43,47,638 ~13 Crore+ ","Self tdFarming, Business, Salary, Rent Income","Farming, Business, Salary, Rent Income",0
C.M. RAJPUT ,"
 61
        ","
INC
 ","

Mittansingh Rajput
        ","


Graduate
 B.Com from Gujarat University in 1984
","5,30,41,777 ~5 Crore+ ",Self tdBusiness,Shares trading and rent,1
CHAITANYA MAKARANDBHAI DESAI ,"
 49
        ","
BJP
 ","

Makarandbhai Desai
        ","


10th Pass
 11th Pass From Vidyakunj Highschool, Vadodara (Science), Year-1992
","8,56,28,880 ~8 Crore+ ","Self tdProprietor- C.R. Infotech (System Integration), 2) Vasant Kutir Development Company L.L.P (15% Partnership), 3) Stop And Stay Hotel Pvt. Ltd ( Company Director), 4) Soliquid West Jamet Pvt. Ltd ( Company Director)",Vasant Kutir Development Company L.L.P ( 10% Partnership),0
CHAITANYASINH PRATAPSINH ZALA ,"
 44
        ","
BJP
 ","

Pratapsinh
        ","


Graduate Professional
 LLB From Anand Law College Sardar Patel University Year 2014, BSC From Arts &amp; Science College, Dabhoi Gujarat University Year 1998
","70,22,038 ~70 Lacs+ ",Self tdLawyer &  Farming,Housewife,1
CHAITARBHAI DAMJIBHAI VASAVA ,"
 34
        ","
AAP
 ","

Damjibhai Vasava
        ","


Graduate
 BRS Graduate From Nutan Gram Vidyalay Netrang Bharuch Veer Narmad South Gujarat University Surat Year 2009
","60,87,000 ~60 Lacs+ ",Self tdFarming & Labor Contract,Business,8
CHAMANBHAI SAVSANI ,"
 49
        ","
BSP
 ","

Nagjibhai Savsani
        ","


8th Pass
 9th
","41,75,000 ~41 Lacs+ ","Self tdAgriculture, Business",NA,0
CHAMPABEN NARSHIBHAI RATHOD ,"
 37
        ","
IND
 ","

Narshibhai Bhanjibhai Rathod 
        ","


Illiterate
 
","4,46,195 ~4 Lacs+ ",Self tdSewing and Housework,Not Applicable,0
CHAMPUBHAI DHAKHADA ,"
 44
        ","
Gujarat Nav Nirman Sena
 ","

Dadabhai Dhakda
        ","


10th Pass
 10th Pass
","13,90,000 ~13 Lacs+ ",Self tdTrasnporting Labor Work,Housewife,1
CHANANI MUSHABHAI ABHARAMBHAI ,"
 52
        ","
BSP
 ","

Abharambhai Chanani
        ","


Illiterate
 Illiterate
","7,40,000 ~7 Lacs+ ",Self tdLabor,Housewife,0
CHANDANJI TALAJI THAKOR ,"
 51
        ","
INC
 ","

Talaji Bajuji Thakor
        ","


10th Pass
 New SSC From Gujarat Secondary Education Board, Gandhinagar Anjuman Highschool Bhilvan Saraswati Patan Year March 1990
","18,52,46,381 ~18 Crore+ ","Self tdFarming, Builder & Salary","Farming, Construction & Invest",0
CHANDPA KARSHANBHAI GOVINDBHAI ,"
 44
        ","
IND
 ","

Govindbhai Chandpa
        ","


5th Pass
 7th Pass From Virodar School
","50,40,000 ~50 Lacs+ ",Self tdFarming/ Driving,NA,0
CHANDRA DHARMENDRA DHIRAJLAL ,"
 36
        ","
IND
 ","

Dhirajlal
        ","


8th Pass
 9th pass National highschool jamnagar
","11,53,000 ~11 Lacs+ ",Self tdBusiness,Nil,0
CHANDRIKABEN BARIYA ,"
 58
        ","
INC
 ","

Chhaganbhai  Madubhai Bariya
        ","


10th Pass
 10th Pass From  Yesh vatika High School Buniyadi Vidyamandir, Jesawada, 
","1,02,13,637 ~1 Crore+ ",Self tdFarming,NA,0
CHANDUBHAI MANSANGBHAI BAMROLIYA ,"
 53
        ","
AAP
 ","

Mansangbhai Bamroliya
        ","


Graduate
 Graduation Certificate of Indian Army year 2017
","97,67,618 ~97 Lacs+ ",Self tdPension and agriculture ,nIl,0
CHANDULAL MOHANBHAI RATHOD ,"
 53
        ","
IND
 ","

Mohanlal Rathod
        ","


5th Pass
 7th Pass, Tabuka Branch No.2-Kutiyana
","90,000 ~90 Thou+ ",Self tdAgriculture Labour,House Wife,0
CHATURBHAI PARSHOTAMBHAI RUDANI ,"
 45
        ","
IND
 ","

Parshotambhai Ramjibhai Rudani
        ","


5th Pass
 6th Pass, From Shriharipara Prathmik School,Taluka -Dhari
","60,63,000 ~60 Lacs+ ",Self tdBusiness 500000,NA,0
CHAUDHARI BABUBHAI MAHDEVBHAI ,"
 38
        ","
IND
 ","

Mahadevbhai Chaudhari
        ","


Graduate
 HNGU Patan
","1,75,000 ~1 Lacs+ ",Self tdRetail Business,NA,0
CHAUDHARI JAGBIRSINGH ,"
 58
        ","
Jan Sewa Driver Party
 ","

Rameshwardayal
        ","


10th Pass
 10th from Govt. High School Nangal Choudhary Haryana School Education Board in 1983
","6,20,46,216 ~6 Crore+ ",Self tdTransport Business ,Nil,0
CHAUDHARI KISHORSINH SHRICHAND ,"
 58
        ","
Jan Sewa Driver Party
 ","

Shrichand Ganpatram Chaudhari
        ","


5th Pass
 7th Pass From Higher Secondary School, Gavbhodki, Tal. Udaipur Vati, Dist. Junjun, Rajastan. Year-1979
","82,49,646 ~82 Lacs+ ",Self tdDriving Income,Govt. Service,0
CHAUDHARI PRADIPBHAI THAGABHAI ,"
 51
        ","
IND
 ","

Thagabhai Moghiyabhai
        ","


10th Pass
 New SSC Pass, Year-1989
","10,18,289 ~10 Lacs+ ",Self tdFarming,NA,0
CHAUDHARI SHANKARBHAI DEVJIBHAI ,"
 48
        ","
IND
 ","

Chaudhari Devjibhai Narsangbhai
        ","


12th Pass
 12th Pass, From U.M.Education Board Gandhinagar Seth G.C.Highchool,Pilvai Taluka-Vijapur
","11,91,549 ~11 Lacs+ ",Self tdFarming,Housewife,0
CHAUHAN BALRAJSINH KALYANSINH ,"
 51
        ","
BJP
 ","

Chauhan Kalyansinh Deharsinh
        ","


Graduate Professional
 LLB from Siddharth Law College Gandhinagar in Year 1999, B.A from Maniben Bhikhabhai Commerce College in Year Apr 1995
","1,20,00,979 ~1 Crore+ ","Self tdAgriculture, Notri Advocate and MLA Pension",Housewife,0
CHAUHAN BHARATBHAI MOHANBHAI ,"
 43
        ","
IND
 ","

Mohanbhai Muljibhai Chuahan
        ","


Graduate Professional
 BA.., LLB from P.P. Law college Porbander
","55,000 ~55 Thou+ ",Self tdAdvocate,Not Applicable,0
CHAUHAN CHAMPABEN ZAVERBHAI ,"
 62
        ","
IND
 ","

Chauhan Zaverbhai Mulubhai
        ","


Post Graduate
 M.A. B.Ed from Bhavnagar University in 1995
","9,50,000 ~9 Lacs+ ",Self tdHouse wife,Death,0
CHAUHAN JERAMBHAI GOVINDBHAI ,"
 34
        ","
IND
 ","

Govindbhai Murjibhai
        ","


12th Pass
 12th Pass in Year 2008 From Vidya Nikunj Higher Secondary School, Rajkot
","1,93,000 ~1 Lacs+ ",Self tdLabour Work Income 120000 Annual,NA,0
CHAUHAN JUNED ABDUL RAJAK ,"
 33
        ","
IND
 ","

Chuhan Abdulrajak
        ","


8th Pass
 9th Pass From Madarsa Taheriya Highschool, Year-2007
","22,73,500 ~22 Lacs+ ",Self tdBusiness,Nil,9
CHAUHAN KALUBHAI MAPABHAI ,"
 57
        ","
BSP
 ","

Chauhan Mapabhai
        ","


5th Pass
 6th Pass From Mukhya Kumar Shakha 
","10,90,000 ~10 Lacs+ ",Self tdAgriculture Labour,Nil,0
CHAUHAN KAMLESHBHAI ARJANBHAI ,"
 40
        ","
Vyavastha Parivartan Party
 ","

Arjan Bhai
        ","


5th Pass
 5th Primary School Gahada
","1,46,000 ~1 Lacs+ ",Self tdDiamond Business,NA,1
CHAUHAN MAHIPATSINH KESARISINH ,"
 36
        ","
IND
 ","

Kesarsinh Harisinh
        ","


Graduate
 SY LLB from Sardar Patel University in Year 2022, BA from Sardar Patel University in Year 2020
","40,52,100 ~40 Lacs+ ",Self tdFarmer,NA,3
CHAUHAN MAHIPATSINH KESARISINH ,"
 36
        ","
IND
 ","

Kesarsinh Chauhan
        ","


Graduate
 S.Y LLB From Sardar Patel University 2022, B A Sardar Patel University 2020
","40,52,100 ~40 Lacs+ ",Self tdFarming,NA,3
CHAUHAN MUKESHSINH ,"
 31
        ","
Garvi Gujarat Party
 ","

Dhirusinh Chauhan
        ","


5th Pass
 7th Pass from Mota Tokasana Primary School in Year 2005
","82,500 ~82 Thou+ ",Self tdLabour,Housewife,0
CHAUHAN MULSHANKARBHAI RAGHURAMBHAI ,"
 55
        ","
BSP
 ","

Raghurambhai Kalidasbhai Chauhan
        ","


10th Pass
 SSC From Gujrat Board In Year 1984-1985
","10,09,101 ~10 Lacs+ ",Self tdLabour Contractor,NA,0
CHAUHAN PRAVINBHAI DANABHAI ,"
 40
        ","
IND
 ","

Danabhai 
        ","


5th Pass
 6th Pass From Shri Khokheri Primary School, Rajkot
","1,59,500 ~1 Lacs+ ",Self tdRs 64000/-,Rs 64000/-,0
CHAUHAN SAMATSINH MANSUKHBHAI ,"
 60
        ","
Praja Vijay Paksh
 ","

Mansukhbhai
        ","


10th Pass
 10th pass From P.T.C.Vadodra in 1982
","37,72,833 ~37 Lacs+ ",Self tdAgriculture,Job,0
CHAUHAN SHAMAJIBHAI BHIMAJIBHAI ,"
 62
        ","
BJP
 ","

Chauhan Bhimajibhai
        ","


10th Pass
 11th Pass From Shree Vallabhbhai Patel, Sant Kabir Road, Beri Para, Rajkot, in Year 1981
","3,07,11,771 ~3 Crore+ ",Self tdAgriculture & Real Estate,Housewife,0
CHAUHAN SUNILBHAI ,"
 40
        ","
IND
 ","

Khodabhai Chanabhai Chauhan
        ","


10th Pass
 10 Shri MJ Doshi High School and Seth N D Middle School Tajala in 1994
","13,73,400 ~13 Lacs+ ",Self tdElectric Media Journalism ,Daily Worker,3
CHAUHAN VAKHATSINH AMARASINH ,"
 51
        ","
INC
 ","

Chauhan Amarsinh Ghamirsinh
        ","


10th Pass
 SSC Passed in March 1989 from Gujarat Secondary &amp; Higher Secondary Education Board, Gandhinagar
","79,25,858 ~79 Lacs+ ",Self tdFarming 120000/- & Beast Maintaining,NIL,0
CHAUHAN VIJAYSINH KARANSINH ,"
 26
        ","
IND
 ","

Karansinh Amarsinh Chauhan
        ","


12th Pass
 12th Pass From GJ Patel Higher Secondary School Vidhyanagri Himatnagar Year 2012
","20,10,703 ~20 Lacs+ ",Self tdFarming & Animal Husbandry,Animal Husbandry,0
CHAUHAN VIJAYSINH MAGANSINH ,"
 52
        ","
Garvi Gujarat Party
 ","

Chauhan Manganbhai Manabhai
        ","


Post Graduate
 M. Com Pass From Gujrat University In 1998, LLB Pass From Gujrat University In 1999
","12,86,088 ~12 Lacs+ ",Self tdLawer & Farming,NA,0
CHAUHAN VINAY SUBHASH (FOUJI) ,"
 39
        ","
AAP
 ","

Subhash Kashinath chauhan
        ","


Graduate Professional
  LLB From Gujrat University,Ahamdabad Year-2019 &amp; B.A. From B.A.Sunrise University,Alvar,Rajsthan Year-2015
","2,74,07,080 ~2 Crore+ ","Self tdBusiness,Quexplore Equipment Pvt.ltd.borisna Road,Kalol",Housewife,0
CHAVADA DIVYESHBHAI MANUBHAI ,"
 39
        ","
INC
 ","

Manubhai 
        ","


Graduate Professional
 LLB. From  Saurastra University, Rajkot In Year 2019, B.A  From  Dr.Baba Ambedkar University Amhedabad  In Year april 2008 
","1,43,87,131 ~1 Crore+ ",Self tdAdvocate ,Tailor ,1
CHAVADA GHANSHYAMBHAI ASHOKBHAI ,"
 30
        ","
Rashtriya Hind Ekta Dal
 ","

Chavda Ashokbhai Parshottambhai
        ","


10th Pass
 10th Pass From Shri B.G. Mehta School, High School Jesar, Dist.Bhavnagar, Year-2010
","55,000 ~55 Thou+ ",Self tdIncome From Photography Business,House Wife,0
CHAVADA HITESHBHAI ,"
 50
        ","
Sarvodaya Bharat Party
 ","

Kantibhai Ghelabhai Chavda
        ","


Graduate
 B.Com From Somnath University, Somnath Veravad. Year-1993
","48,40,838 ~48 Lacs+ ",Self tdSports Teacher,Sports Teacher,0
CHAVADA JYOTSANABEN SOMABHAI ,"
 49
        ","
Sardar Vallabhbhai Patel Party
 ","

Chavada Somabhai Kalidas
        ","


8th Pass
 9th Pass From Gujarat Education Board, Gandhinagar
","15,000 ~15 Thou+ ",Self tdNA,NA,0
CHAVDA ASHOK NATHABHAI ,"
 38
        ","
IND
 ","

Nathabhai Chavda
        ","


8th Pass
 8th Pass from Mandha High School, Khambaliya in Year 1994
","61,000 ~61 Thou+ ",Self tdLabour,Housewife,0
CHAVDA BHARATKUMAR NANJIBHAI ,"
 41
        ","
IND
 ","

Nanjibhai Bhanabhai Chavda
        ","


8th Pass
 10th Fail From Shri Lal Bahadur Shastri School Mevasa In 1995
","4,60,000 ~4 Lacs+ ",Self tdFarming,Housewife,0
CHAVDA MAHENDRAKUMAR MAGANBHAI ,"
 40
        ","
IND
 ","

Maganbhai Amrabhai
        ","


Graduate Professional
 LLB Saurashtra University Surendranagar in 2011
","60,000 ~60 Thou+ ",Self tdLabor,House wife,1
CHAVDA MEGHJIBHAI AMARABHAI ,"
 64
        ","
BJP
 ","

CHAVDA Amrabhai Parabt Bhai
        ","


Graduate
 B.Com from PD Malaviya Commerce College Rajkot (Saurashtra University Rajkot)
","1,56,29,762 ~1 Crore+ ",Self tdFarmer And Commission Agent,Mohit Studio Dhrol,0
CHAVDA NATVARSINH FULSINH ,"
 61
        ","
IND
 ","

Chawda Fulsinh Ramsinh
        ","


10th Pass
 Std. 10th From Ranjitpura Highschool,Gujrat Higher Secondary Education Board,Gandhinagar,Year-1980-81
","57,22,617 ~57 Lacs+ ",Self tdDriveing-30000 & Farming-50000 Total-80000,NA,0
CHAVDA NILESHBHAI MANSUKHBHAI ,"
 37
        ","
Rashtra Nirman Party
 ","

Chavda Mansukhbhai
        ","


10th Pass
 10th Pass from Nagardas Mohanlal High School 
","1,67,000 ~1 Lacs+ ",Self tdLabour,NA,0
CHAVDA RAJENDRAKUMAR GANDAJI ,"
 39
        ","
Rashtriya Hind Ekta Dal
 ","

Gandaji Bharathji Chavda
        ","


12th Pass
 T.Y.B.Com Uttar Gujarat University, Patan, Gujarat. Year-2003
","7,53,500 ~7 Lacs+ ",Self tdPhoto Video Graphy,NA,0
CHAVDA SUDHA BAKUL ,"
 42
        ","
BSP
 ","

Chava Bakul
        ","


Graduate Professional
 BA LLB in Year March 2006 Kutchh
","4,85,000 ~4 Lacs+ ",Self tdAdvocate,Wireman,0
CHETAN ARUNBHAI PANDIT ,"
 40
        ","
Akhil Bharat Hindu Mahasabha
 ","

Arunbhai Pandit
        ","


Graduate Professional
 LLB From Kaydanand S P university Year 2009,BA From Gujarat University 2005
","33,39,040 ~33 Lacs+ ",Self tdAdvocate,Nil,0
CHETANJI MERUJI THAKOR ,"
 28
        ","
Garvi Gujarat Party
 ","

Meruji Thakur
        ","


12th Pass
 12th Sanskar Bharti School
","2,12,000 ~2 Lacs+ ",Self tdLabour,House wife,0
CHETANKUMAR HARSUKHBHAI GAJERA ,"
 34
        ","
AAP
 ","

Harsukhbhai 
        ","


12th Pass
 12th Pass From New Best English school Junagadh 2006 
","8,68,918 ~8 Lacs+ ",Self tdBusiness ,Housewife,0
CHETARIYA LAKHUBHAI LAGDHIRBHAI ,"
 51
        ","
Gujarat Nav Nirman Sena
 ","

Chetaria Lagdhirbhai 
        ","


12th Pass
 12th Pass From Swami Vivekanad Vinay Mandir, Junagadh in Year 1991
","83,32,800 ~83 Lacs+ ",Self tdRetired,Housewife,0
CHHANABHAI PASHABHAI PARMAR ,"
 64
        ","
Garvi Gujarat Party
 ","

Pashabhai Panabhai Parmar
        ","


5th Pass
 7th Pass From Mahesana District Primary School Council, Year-1983
","35,48,335 ~35 Lacs+ ",Self tdPension,Nil,0
CHHANGA TRIKAM BIJAL ,"
 60
        ","
BJP
 ","

Chhanga Bijal
        ","


Graduate Professional
 B.Ed. from Gujarat University Ahmedabad in 1987, BA from RR Lalan College Bhuj in 1986
","99,31,399 ~99 Lacs+ ",Self tdFarming,NA,0
CHIMANBHAI SAPARIYA ,"
 67
        ","
BJP
 ","

Dharamshibhai Sapariya
        ","


Graduate
 B.COM From Arts and Commerce College Jamjodhpur in Saurashtra University in Year 1979-80
","7,91,22,651 ~7 Crore+ ",Self tdBusiness & Agiculture ,Business ,0
CHIRAGBHAI PATEL(K.K.GROUP) ,"
 44
        ","
AAP
 ","

Pravinbhai Patel  
        ","


12th Pass
 12th Pass From Board G.S.E.B Year-1993 
","2,71,70,354 ~2 Crore+ ",Self tdAgriculture & Business Income,NA,0
CHIRAGKUMAR ARVINDBHAI PATEL ,"
 43
        ","
INC
 ","

Arvindbhai Patel 
        ","


10th Pass
 10th Pass From Shreemati K.D Patel High School Year-1994
","7,74,89,356 ~7 Crore+ ",Self tdContractor ,Private Job,0
CHOUHAN MAHENDRA DINESHBHAI ,"
 43
        ","
BSP
 ","

Dineshbhai kalabhai chauhan
        ","


8th Pass
 9th Pass Sam navbharat highschool in Year 1994
","5,08,700 ~5 Lacs+ ",Self tdLabour,Housewife,0
CHUDASAMA RAMAJIBHAI BABUBHAI ,"
 48
        ","
AAP
 ","

Babubhai
        ","


12th Pass
 12th Pass Karamesh High School Year 1993
","6,76,000 ~6 Lacs+ ",Self tdAgriculture Labour,House Wife,1
CHUDASAMA VIMALBHAI KANABHAI ,"
 42
        ","
INC
 ","

Kanabhai Hirabhai
        ","


Graduate
 T.Y. B.Com Pass From JJK AC Kundaliya College, Rajkot, Year-2002
","2,21,31,827 ~2 Crore+ ",Self tdFarming & Business,House Wife,1
CHUNARA GULSHANBEN AHEMADBHAI ,"
 45
        ","
IND
 ","

Ahemadbhai
        ","


5th Pass
 7Th Pass From Nagar Primary School Smiti, Palanpur, Year -1989
","90,000 ~90 Thou+ ",Self td10000,NA,0
CHUNARA PRAKASHBHAI BHAILALBHAI ,"
 31
        ","
IND
 ","

Bhilalbhai Somabhai
        ","


10th Pass
 10th Pass Seth CK High School Sanad, Ahmedabad
","19,60,000 ~19 Lacs+ ",Self tdDriving ,NA,0
CHUNIBHAI BABABHAI PATEL ,"
 68
        ","
AAP
 ","

Bababhai Patel
        ","


10th Pass
 10th Pass (Old S.S.C.) From Shri T.C.Patel Highschool ,Aamliyara Year-1971
","70,39,209 ~70 Lacs+ ",Self tdFarming,Farming,0
DABHI SAVJIBHAI LAKHMABHAI ,"
 62
        ","
Bhartiya Jan Parishad
 ","

Lakhmabhai Dabhi 
        ","


10th Pass
 10th Pass From   Adivasi Vidyalaya Iqbalgadh Dist. Banaskantha
","6,00,000 ~6 Lacs+ ",Self tdPension & Agriculture,Housewife,0
DABHI SHARMISHTABEN LALJIBHAI ,"
 44
        ","
JD(S)
 ","

Dabhi Laljibhai
        ","


12th Pass
 12th Pass from Gujarat North Hiigher Secondary Board, in Year 1997
","2,00,000 ~2 Lacs+ ",Self td6000/- from Beauty Parlour Business ,NA,0
DAHYABHAI RAMABHAI JADAV ,"
 63
        ","
CPI(M)
 ","

Ramabhai Dalabhai Jadav
        ","


Graduate Professional
 LLB From North Gujarat University Patan Year-1983 &amp; BA From North Gujarat University Patan Year-1980 
","21,55,000 ~21 Lacs+ ","Self tdAdvocacy, Agriculture ",Housewife,0
DAKI JAYSUKHLAL JADAVBHAI ,"
 64
        ","
IND
 ","

Jadavbhai 
        ","


10th Pass
 
","9,18,000 ~9 Lacs+ ",Self tdNA,NA,0
DALPATBHAI DAHYABHAI BHATIYA ,"
 50
        ","
AAP
 ","

Dahyabhai Bhatiya
        ","


10th Pass
 10th Pass, From Kumbharsan Highschool,Taluka-Palanpur District-Banskanta Year-March 1988
","9,95,125 ~9 Lacs+ ",Self tdFarming,NA,0
DALPATJI KESARJI CHAUHAN ,"
 39
        ","
IND
 ","

Kesarji Heduji Chauhan
        ","


8th Pass
 10th Fail from Vibha Vidyamandir, Dantiwada
","25,50,000 ~25 Lacs+ ",Self tdAgriculture & Jewellers,NA,0
DANGAR RAMESHBHAI SHAMJIBHAI ,"
 43
        ","
INC
 ","

Shamji Bhai Dangar
        ","


5th Pass
 7th Pass From Sapeda Panchayati Primary School Year 1992
","2,85,03,885 ~2 Crore+ ",Self tdFarming & Transport,Housewife,1
DARJI GHANSHYAMBHAI NATVARBHAI ,"
 50
        ","
IND
 ","

Natvarbhai Khodidas Darji
        ","


Literate
 4th Pass
","6,00,000 ~6 Lacs+ ",Self tdTailor Work,NA,0
DARSHANKUMAR AMRUTLAL NAYAK ,"
 50
        ","
INC
 ","

Amrutlal Nayak
        ","


Graduate Professional
 LLB Special Pass From South Gujarat University Surat Year May 2000, BA Pass From South Gujarat University Surat Year November 1992, 12th Pass From DRGD Sarvajanik Sayan Surat Year November 1989, 10th Pass From DRGD Sarvajanik School Sayan Surat Year Novem
","3,90,45,530 ~3 Crore+ ",Self tdFarming And Lawyer,Farming,0
DARSHNA M. VAGHELA ,"
 50
        ","
BJP
 ","

Mukeshbhai Vaghela
        ","


Graduate
 B.com in 1997 from womens university mulund
","2,75,90,844 ~2 Crore+ ",Self tdNot Applicable,Salary,0
DATTULBHAI SOMALAL JOSHI ,"
 41
        ","
IND
 ","

Somalal Joshi
        ","


12th Pass
 12th Pass
","34,06,000 ~34 Lacs+ ",Self tdGeneral Store Shop,NA,0
DAVE JATINKUMAR DINESHCHANDRA ,"
 56
        ","
IND
 ","

Dineshchandra Chhotalal
        ","


Others
 Civil Draftsman in Ananad Institute
","20,30,000 ~20 Lacs+ ",Self tdBusiness,Housewife,1
DEDANIYA LALITKUMAR LALJIBHAI ,"
 38
        ","
IND
 ","

Dedaniya Laljibhai Karamsibhai
        ","


10th Pass
 10th pass from Shri Saraswati Highschool ranpur in 2000
","2,94,81,000 ~2 Crore+ ",Self tdPartnership in Jayshakti Industries,Housewife,1
