Candidate Name,Constituency,Party,Criminal_case,Education,Total_assets,Liabilities
['Neelam Nijhawan'],['90-MOTI NAGAR'],['INC'],['0'],['Graduate'],"['Rs\xa03,71,85,005~ 3\xa0Crore+']","['Rs\xa017,05,560~ 17\xa0Lacs+']"
['Neelam Vats'],['122-MATIAIA'],['INC'],['0'],['Post Graduate'],"['Rs\xa039,33,155~ 39\xa0Lacs+']",['Rs\xa00~']
['Neema Bhagat'],['210-GEETA COLONY'],['BJP'],['0'],['Post Graduate'],"['Rs\xa01,82,79,113~ 1\xa0Crore+']",['Rs\xa00~']
['Neeraj Gupta'],['168-SANGAM VIHAR-C'],['BJP'],['0'],['10th Pass'],"['Rs\xa02,56,59,002~ 2\xa0Crore+']",['Rs\xa00~']
['Neeraj Kaushik'],['228-MAUJPUR'],['AAP'],['0'],['12th Pass'],"['Rs\xa095,02,083~ 95\xa0Lacs+']","['Rs\xa06,00,000~ 6\xa0Lacs+']"
['Neeraj Kumar'],['39-MUBARIKPUR'],['IND'],['0'],['12th Pass'],"['Rs\xa06,88,000~ 6\xa0Lacs+']","['Rs\xa01,20,000~ 1\xa0Lacs+']"
['Neeraj Yadav'],['163-SANGAM VIHAR-A'],['AAP'],['0'],['12th Pass'],"['Rs\xa011,10,400~ 11\xa0Lacs+']",['Rs\xa00~']
['Neeta Bisht'],['247-SADATPUR'],['BJP'],['0'],['10th Pass'],"['Rs\xa01,58,96,244~ 1\xa0Crore+']","['Rs\xa05,11,707~ 5\xa0Lacs+']"
['Neetu'],['10-JHARODA'],['BSP'],['0'],['12th Pass'],"['Rs\xa022,00,012~ 22\xa0Lacs+']",['Rs\xa00~']
['Neetu'],['143-SIDHARTHA NAGAR'],['AAP'],['0'],['Graduate Professional'],"['Rs\xa044,25,000~ 44\xa0Lacs+']",['Rs\xa00~']
['Neetu'],['187-SARITA VIHAR'],['BJP'],['0'],['Graduate'],"['Rs\xa03,14,20,272~ 3\xa0Crore+']",['Rs\xa00~']
['Neetu Sansanwal'],['160-SAID-UI-AJAIB'],['NCP'],['0'],['Graduate'],"['Rs\xa010,86,624~ 10\xa0Lacs+']",['Rs\xa00~']
['Neetu Sharma'],['107-VIKAS PURI'],['IND'],['0'],['Doctorate'],"['Rs\xa01,07,01,850~ 1\xa0Crore+']","['Rs\xa04,50,000~ 4\xa0Lacs+']"
['Neetu Yadav'],['63-TRI NAGAR'],['AAP'],['0'],['Graduate'],"['Rs\xa02,18,10,567~ 2\xa0Crore+']","['Rs\xa011,50,000~ 11\xa0Lacs+']"
['Neha'],['3-HOLAMBI KALAN'],['AAP'],['0'],['10th Pass'],"['Rs\xa05,81,683~ 5\xa0Lacs+']",['Rs\xa00~']
['Neha Aggarwal'],['14-DHIRPUR'],['AAP'],['0'],['Graduate'],"['Rs\xa08,10,83,637~ 8\xa0Crore+']",['Rs\xa00~']
['Neha Goawami'],['136-MADHU VIHAR'],['AAP'],['0'],['Post Graduate'],"['Rs\xa02,03,02,004~ 2\xa0Crore+']","['Rs\xa032,54,210~ 32\xa0Lacs+']"
['Neha Lochav'],['130-DWARKA-C'],['INC'],['0'],['Graduate Professional'],"['Rs\xa083,17,336~ 83\xa0Lacs+']","['Rs\xa02,50,712~ 2\xa0Lacs+']"
['Nikhil Chaprana'],['183-HARI NAGAR EXTENSION'],['AAP'],['0'],['12th Pass'],"['Rs\xa01,42,69,039~ 1\xa0Crore+']","['Rs\xa040,00,000~ 40\xa0Lacs+']"
['Nikki Dabas'],['32-KANJHAWAIA'],['IND'],['0'],['Doctorate'],"['Rs\xa01,02,78,615~ 1\xa0Crore+']",['Rs\xa00~']
['Nirmal Sharma'],['245-BRIJ PURI'],['BJP'],['0'],['12th Pass'],"['Rs\xa082,34,000~ 82\xa0Lacs+']","['Rs\xa027,66,148~ 27\xa0Lacs+']"
['Nirmala'],['1-NARELA'],['INC'],['0'],['10th Pass'],"['Rs\xa063,28,500~ 63\xa0Lacs+']",['Rs\xa00~']
['Nirmala Kumari'],['112-SAINIK ENCLAVE'],['AAP'],['0'],['12th Pass'],"['Rs\xa069,88,849~ 69\xa0Lacs+']","['Rs\xa08,80,278~ 8\xa0Lacs+']"
['Nirmala Vats'],['33-RANI KHERA'],['INC'],['0'],['Graduate'],"['Rs\xa070,04,194~ 70\xa0Lacs+']",['Rs\xa00~']
['Nirmala Yadav'],['9-SANT NAGAR'],['IND'],['0'],['8th Pass'],"['Rs\xa01,71,000~ 1\xa0Lacs+']",['Rs\xa00~']
['Nirmla'],['29-POOTH KHURD'],['INC'],['0'],['8th Pass'],"['Rs\xa01,54,20,000~ 1\xa0Crore+']",['Rs\xa00~']
['Nirmla Devi'],['231-GHONDA'],['IND'],['0'],['10th Pass'],"['Rs\xa082,35,777~ 82\xa0Lacs+']",['Rs\xa00~']
['Nirmla Devi'],['114-NAWADA'],['AAP'],['0'],['5th Pass'],"['Rs\xa013,08,54,570~ 13\xa0Crore+']","['Rs\xa032,03,924~ 32\xa0Lacs+']"
['Nirmla Kumari'],['239-GOKAI PURI'],['BJP'],['0'],['10th Pass'],"['Rs\xa01,60,84,070~ 1\xa0Crore+']",['Rs\xa00~']
['Nisha Mittal'],['193-KONDLI'],['BSP'],['0'],['12th Pass'],"['Rs\xa01,16,03,577~ 1\xa0Crore+']","['Rs\xa01,69,225~ 1\xa0Lacs+']"
['Nisha Parveen'],['72-SADAR BAZAR'],['AIMIM'],['0'],['Literate'],"['Rs\xa013,01,000~ 13\xa0Lacs+']",['Rs\xa00~']
['Nisha Prabha'],['195-KALYANPURI'],['IND'],['0'],['Post Graduate'],"['Rs\xa01,29,84,523~ 1\xa0Crore+']","['Rs\xa032,50,000~ 32\xa0Lacs+']"
['Niti Garg'],['221-ASHOK NAGAR'],['INC'],['0'],['12th Pass'],"['Rs\xa03,69,43,314~ 3\xa0Crore+']","['Rs\xa044,67,011~ 44\xa0Lacs+']"
['Nitin'],['15-ADARSH NAGAR'],['IND'],['0'],['Others'],"['Rs\xa06,00,000~ 6\xa0Lacs+']",['Rs\xa00~']
['Nitin Tyagi'],['6-BURARI'],['INC'],['0'],['Graduate'],"['Rs\xa089,78,547~ 89\xa0Lacs+']","['Rs\xa013,77,363~ 13\xa0Lacs+']"
['Nitu'],['91-RAMESH NAGAR'],['BSP'],['0'],['8th Pass'],"['Rs\xa07,14,873~ 7\xa0Lacs+']",['Rs\xa00~']
['Noshad Aka Naushad'],['163-SANGAM VIHAR-A'],['CPI(ML)(L)'],['0'],['8th Pass'],"['Rs\xa063,42,023~ 63\xa0Lacs+']","['Rs\xa027,375~ 27\xa0Thou+']"
['Om Prakash'],['127-NAJAFGARH'],['BSP'],['0'],['10th Pass'],"['Rs\xa01,54,99,478~ 1\xa0Crore+']",['Rs\xa00~']
['Om Prakash'],['49-MANGOIPURI-A'],['INC'],['0'],['12th Pass'],"['Rs\xa020,10,000~ 20\xa0Lacs+']",['Rs\xa00~']
['Omkari'],['178-TUGHLAKABAD'],['IND'],['0'],['Illiterate'],"['Rs\xa01,35,239~ 1\xa0Lacs+']",['Rs\xa00~']
['Omvati'],['9-SANT NAGAR'],['IND'],['0'],['12th Pass'],"['Rs\xa017,85,000~ 17\xa0Lacs+']","['Rs\xa04,10,000~ 4\xa0Lacs+']"
['Pankaj Goel'],['13-MUKHERJEE NAGAR'],['IND'],['0'],['10th Pass'],"['Rs\xa012,62,846~ 12\xa0Lacs+']","['Rs\xa05,65,000~ 5\xa0Lacs+']"
['Pankaj Gupta'],['168-SANGAM VIHAR-C'],['AAP'],['1'],['12th Pass'],"['Rs\xa08,92,008~ 8\xa0Lacs+']",['Rs\xa00~']
['Pankaj Kumar Bindal'],['236-KARDAM PURI'],['IND'],['0'],['Graduate'],"['Rs\xa09,21,600~ 9\xa0Lacs+']",['Rs\xa00~']
['Pankaj Kumar Singh'],['109-VIKAS NAGAR'],['BJP'],['1'],['Graduate Professional'],"['Rs\xa03,85,29,075~ 3\xa0Crore+']",['Rs\xa00~']
['Pankaj Luthra'],['216-JHILMIL'],['BJP'],['0'],['8th Pass'],"['Rs\xa03,50,03,210~ 3\xa0Crore+']","['Rs\xa083,67,090~ 83\xa0Lacs+']"
['Pankaj Rana'],['70-SHASTRI NAGAR'],['INC'],['0'],['Graduate'],"['Rs\xa02,517~ 2\xa0Thou+']","['Rs\xa03,07,992~ 3\xa0Lacs+']"
['Pankaj Sharma'],['250-SABAPUR'],['BSP'],['0'],['Graduate Professional'],"['Rs\xa016,21,292~ 16\xa0Lacs+']","['Rs\xa011,40,000~ 11\xa0Lacs+']"
['Pankaj Sharma'],['64-KESHAV PURAM'],['INC'],['0'],['Graduate'],"['Rs\xa01,54,37,418~ 1\xa0Crore+']",['Rs\xa00~']
['Pappu'],['185-MADANPUR KHADAR EAST'],['IND'],['0'],['8th Pass'],"['Rs\xa026,000~ 26\xa0Thou+']",['Rs\xa00~']
['Paramjeet Kaur'],['102-KHYALA'],['BJP'],['0'],['Literate'],"['Rs\xa02,10,000~ 2\xa0Lacs+']",['Rs\xa00~']
['Parikshit Kumar Singh'],['176-GOVIND PURI'],['BSP'],['0'],['10th Pass'],"['Rs\xa049,90,663~ 49\xa0Lacs+']",['Rs\xa00~']
['Parita Gupta'],['90-MOTI NAGAR'],['BSP'],['0'],['Graduate'],"['Rs\xa01,57,64,005~ 1\xa0Crore+']","['Rs\xa030,000~ 30\xa0Thou+']"
['Parmanand Sharma'],['222-RAM NAGAR EAST'],['INC'],['1'],['Others'],"['Rs\xa04,74,67,882~ 4\xa0Crore+']","['Rs\xa062,51,083~ 62\xa0Lacs+']"
['Parvati Devi'],['165-MADANGIR'],['IND'],['0'],['10th Pass'],"['Rs\xa027,20,000~ 27\xa0Lacs+']",['Rs\xa00~']
['Parveen Kumar'],['105-MAHAVEER ENCLAVE'],['AAP'],['0'],['Graduate Professional'],"['Rs\xa021,33,915~ 21\xa0Lacs+']",['Rs\xa00~']
['Parvej Ali'],['107-VIKAS PURI'],['IND'],['0'],['Not Given'],"['Rs\xa01,71,077~ 1\xa0Lacs+']",['Rs\xa00~']
['Parvez Malik'],['246- SRI RAM COLONY'],['IND'],['0'],['12th Pass'],"['Rs\xa02,32,778~ 2\xa0Lacs+']","['Rs\xa036,683~ 36\xa0Thou+']"
['Pawan Kumar'],['117-DABRI'],['NCP'],['0'],['5th Pass'],"['Rs\xa011,00,000~ 11\xa0Lacs+']","['Rs\xa080,000~ 80\xa0Thou+']"
['Pawan Kumar'],['127-NAJAFGARH'],['IND'],['0'],['12th Pass'],"['Rs\xa01,58,66,105~ 1\xa0Crore+']","['Rs\xa017,00,000~ 17\xa0Lacs+']"
['Pawan Kumar'],['30-BAWANA'],['AAP'],['0'],['12th Pass'],"['Rs\xa02,10,92,369~ 2\xa0Crore+']","['Rs\xa027,50,428~ 27\xa0Lacs+']"
['Pawan Tomar'],['123-KAKROLA'],['BJP'],['0'],['12th Pass'],"['Rs\xa024,15,173~ 24\xa0Lacs+']",['Rs\xa00~']
['Pawan Vashisht'],['148-HAUZ KHAS'],['INC'],['2'],['Graduate'],"['Rs\xa069,12,890~ 69\xa0Lacs+']",['Rs\xa00~']
['Pinki'],['94-RAGHUBIR NAGAR'],['INC'],['0'],['Graduate'],"['Rs\xa013,58,634~ 13\xa0Lacs+']",['Rs\xa00~']
['Pinki Jain'],['72-SADAR BAZAR'],['BJP'],['0'],['Graduate'],"['Rs\xa02,36,19,228~ 2\xa0Crore+']",['Rs\xa00~']
['Pinki Taxat'],['126-ISAPUR'],['AAP'],['0'],['12th Pass'],"['Rs\xa06,64,48,003~ 6\xa0Crore+']","['Rs\xa04,57,21,544~ 4\xa0Crore+']"
['Pinky Tyagi'],['159-CHHATARPUR'],['AAP'],['1'],['8th Pass'],"['Rs\xa098,14,389~ 98\xa0Lacs+']",['Rs\xa00~']
['Pooja'],['126-ISAPUR'],['INC'],['0'],['12th Pass'],"['Rs\xa099,92,716~ 99\xa0Lacs+']","['Rs\xa080,000~ 80\xa0Thou+']"
['Pooja'],['157-AYA NAGAR'],['IND'],['0'],['Graduate'],"['Rs\xa056,30,672~ 56\xa0Lacs+']",['Rs\xa00~']
['Pooja'],['71-KISHAN GANJ'],['AAP'],['0'],['Post Graduate'],"['Rs\xa02,25,600~ 2\xa0Lacs+']","['Rs\xa027,000~ 27\xa0Thou+']"
['Pooja'],['50-MANGOLPURI-B'],['INC'],['0'],['Graduate'],"['Rs\xa080,000~ 80\xa0Thou+']",['Rs\xa00~']
['Pooja'],['71-KISHAN GANJ'],['IND'],['0'],['Graduate'],"['Rs\xa08,81,645~ 8\xa0Lacs+']",['Rs\xa00~']
['Pooja'],['83-KAROI BAGH'],['INC'],['0'],['Graduate'],"['Rs\xa07,68,200~ 7\xa0Lacs+']","['Rs\xa03,00,533~ 3\xa0Lacs+']"
['Pooja Bidhuri'],['178-TUGHLAKABAD'],['INC'],['0'],['12th Pass'],"['Rs\xa051,83,591~ 51\xa0Lacs+']","['Rs\xa04,41,466~ 4\xa0Lacs+']"
['Pooja Chhabra'],['210-GEETA COLONY'],['IND'],['0'],['10th Pass'],"['Rs\xa066,47,000~ 66\xa0Lacs+']","['Rs\xa01,63,629~ 1\xa0Lacs+']"
['Pooja Jha'],['178-TUGHLAKABAD'],['JD(U)'],['0'],['12th Pass'],"['Rs\xa030,45,959~ 30\xa0Lacs+']","['Rs\xa072,250~ 72\xa0Thou+']"
['Pooja Kumari'],['7-KADIPUR'],['IND'],['0'],['10th Pass'],"['Rs\xa02,02,425~ 2\xa0Lacs+']",['Rs\xa00~']
['Pooja Rani'],['218-SUNDAR NAGRI'],['INC'],['0'],['Graduate Professional'],"['Rs\xa026,84,843~ 26\xa0Lacs+']",['Rs\xa00~']
['Pooja Yadav'],['145-ANDREWS GANJ'],['INC'],['0'],['Graduate'],"['Rs\xa01,10,600~ 1\xa0Lacs+']",['Rs\xa00~']
['Poonam'],['178-TUGHLAKABAD'],['BSP'],['0'],['Illiterate'],"['Rs\xa019,50,477~ 19\xa0Lacs+']",['Rs\xa00~']
['Poonam'],['9-SANT NAGAR'],['IND'],['0'],['Illiterate'],"['Rs\xa06,100~ 6\xa0Thou+']",['Rs\xa00~']
['Poonam Bhardwaj'],['134-RAJ NAGAR'],['AAP'],['0'],['8th Pass'],"['Rs\xa03,62,21,927~ 3\xa0Crore+']","['Rs\xa010,81,000~ 10\xa0Lacs+']"
['Poonam Bharti'],['12-MALKA GANJ'],['IND'],['0'],['12th Pass'],"['Rs\xa08,81,819~ 8\xa0Lacs+']",['Rs\xa00~']
['Poonam Bhati'],['170-TUGHLAKABAD EXTENSION'],['BJP'],['0'],['Post Graduate'],"['Rs\xa03,42,49,697~ 3\xa0Crore+']","['Rs\xa061,10,000~ 61\xa0Lacs+']"
['Poonam Jindal'],['118-SAGARPUR'],['BJP'],['0'],['Graduate Professional'],"['Rs\xa01,19,92,746~ 1\xa0Crore+']","['Rs\xa010,00,000~ 10\xa0Lacs+']"
['Poonam Nirmal'],['237-HARSH VIHAR'],['AAP'],['0'],['12th Pass'],"['Rs\xa02,82,40,419~ 2\xa0Crore+']","['Rs\xa05,49,866~ 5\xa0Lacs+']"
